-22.92304,-43.17132
-22.923372,-43.1712578
-22.9237068,-43.1712232
-22.9240425,-43.1712533
-22.9243662,-43.171306
-22.9246741,-43.1713696
-22.9249883,-43.1714456
-22.9253132,-43.1715432
-22.9256382,-43.1716409
-22.9259579,-43.171737
-22.9262777,-43.1718331
-22.9265985,-43.1719295
-22.9269202,-43.1720262
-22.9272424,-43.172123
-22.9275674,-43.1722207
-22.9278923,-43.1723184
-22.9282575,-43.1724281
-22.9286313,-43.1725405
-22.9289751,-43.1726438
-22.9293095,-43.1727443
-22.929588,-43.172828
-22.929801,-43.172892
-22.930014,-43.1729561
-22.9302271,-43.1730201
-22.9305534,-43.1731249
-22.9309005,-43.1732371
-22.9312325,-43.1733445
-22.9315632,-43.1734514
-22.9319076,-43.1735628
-22.9322536,-43.1736747
-22.9326225,-43.1737334
-22.932964,-43.1737852
-22.9332889,-43.1738313
-22.9336257,-43.173847
-22.9339194,-43.1738245
-22.9342118,-43.1737873
-22.9345118,-43.1737453
-22.9347998,-43.173705
-22.9350892,-43.1736624
-22.9354003,-43.1736019
-22.9357589,-43.1734854
-22.936242,-43.1732635
-22.9365396,-43.1730496
-22.936794,-43.1728348
-22.9369875,-43.172582
-22.9371811,-43.1723292
-22.9373564,-43.1720542
-22.937513,-43.171762
-22.9376751,-43.1715371
-22.9378432,-43.1713168
-22.9380408,-43.1711192
-22.9382384,-43.1709216
-22.9384901,-43.1707704
-22.9387674,-43.1706322
-22.9391989,-43.1705407
-22.9396107,-43.1704963
-22.940005,-43.1705415
-22.9403909,-43.1706492
-22.9407005,-43.1707941
-22.9410299,-43.1710011
-22.941364,-43.1712557
-22.9416549,-43.1715578
-22.9419402,-43.1718655
-22.9422157,-43.1721829
-22.94246,-43.1724927
-22.9426905,-43.1727992
-22.9429437,-43.1731359
-22.9431978,-43.1734764
-22.9433971,-43.1737717
-22.9435934,-43.1741086
-22.9436533,-43.1742583
-22.9437132,-43.174408
-22.9437444,-43.1745944
-22.9437645,-43.1747951
-22.9437764,-43.1750334
-22.943756,-43.1752777
-22.9437327,-43.1754408
-22.9436799,-43.1756147
-22.9436232,-43.1757901
-22.9435185,-43.1759776
-22.9433505,-43.1762351
-22.9431118,-43.1765613
-22.9428747,-43.1768709
-22.9425818,-43.177318
-22.9424021,-43.1777169
-22.9423267,-43.1779868
-22.9423087,-43.1782281
-22.9423034,-43.1784663
-22.9423057,-43.1786572
-22.9423219,-43.1787622
-22.942338,-43.1788672
-22.9423542,-43.1789722
-22.9424934,-43.1793509
-22.9427061,-43.1797276
-22.9430078,-43.1801448
-22.943315,-43.1804901
-22.9436092,-43.1807681
-22.9438718,-43.1809978
-22.9441582,-43.1811897
-22.9444298,-43.1813425
-22.9447132,-43.1814725
-22.9450302,-43.1815973
-22.9453486,-43.1817076
-22.9456698,-43.1817894
-22.9460003,-43.1818383
-22.9463553,-43.18184
-22.9467232,-43.1818327
-22.9471547,-43.1817786
-22.9475751,-43.1816852
-22.9478918,-43.1815626
