20.8,8.3,53.14756923
20.9,6.1,53.38781538
21.0,6.3,53.64775385
21.1,5.8,53.89784615
21.2,6.4,54.15778462
21.3,5,54.40590769
21.4,2.8,54.656
21.5,2.8,54.94153846
21.6,6,55.17390769
21.7,3.8,55.43384615
21.8,6,55.7056
21.9,8.7,55.95175385
22.0,7.9,56.2176
22.1,10.5,56.44996923
22.2,11.4,56.73353846
22.3,29.7,57.02301538
22.4,43,57.21796923
22.5,64.7,57.56258462
22.6,89.7,57.91901538
22.7,94.7,58.14153846
22.8,99.9,58.30695385
22.9,99.1,58.64763077
23.0,86.4,58.87015385
23.1,72.9,59.21083077
23.2,69.1,59.36443077
23.3,63,59.57907692
23.4,50.2,59.86264615
23.5,41.1,60.08713846
23.6,31.5,60.33132308
23.7,20.6,60.55187692
23.8,20.6,60.81181538
23.9,12.8,61.09735385
24.0,8,61.32184615
24.1,6.1,61.57193846
24.2,6.5,61.85944615
24.3,6.1,62.08590769
24.4,5.8,62.34584615
24.5,4.4,62.60381538
24.6,4.7,62.86178462
24.7,5,63.12172308
24.8,5.1,63.37181538
24.9,5.4,63.63766154
25.0,12.8,63.87593846
25.1,53.5,64.13390769
25.2,51.8,64.38596923
25.3,32,64.64787692
25.4,14.9,64.90978462
25.5,12.5,65.15396923
25.6,12.7,65.41784615
25.7,21.3,65.66793846
25.8,26.1,65.94756923
25.9,34.3,66.18190769
26.0,37.2,66.59741538
26.1,32.9,66.75495385
26.2,29,66.96763077
26.3,37.2,67.19803077
26.4,28.7,67.5328
26.5,18.8,67.73366154
26.6,16,68.0448
26.7,16.6,68.24763077
26.8,18.3,68.48393846
26.9,18,68.77735385
27.0,20.8,69.02153846
27.1,18,69.28147692
27.2,23.8,69.56504615
27.3,21.9,69.78166154
27.4,22.3,70.016
27.5,22.7,70.28381538
27.6,23.2,70.57526154
27.7,26.2,70.78793846
27.8,26.8,71.09513846
27.9,25.6,71.37870769
28.0,26.2,71.58153846
28.1,26.9,71.81193846
28.2,27.4,72.12898462
28.3,27.7,72.32393846
28.4,28.3,72.58584615
28.5,28.7,72.83790769
28.6,11.6,73.10572308
28.7,18.5,73.36763077
28.8,29.5,73.63938462
28.9,39.6,73.86978462
29.0,51.3,74.12184615
29.1,66.5,74.37981538
29.2,82.6,74.63778462
29.3,97.2,74.94695385
29.4,108.3,75.14190769
29.5,128.7,75.392
29.6,149.2,75.65784615
29.7,154.7,75.904
29.8,140.3,76.24467692
29.9,116.8,76.43963077
30.0,86.8,76.70350769
30.1,61.3,76.96344615
30.2,74.2,77.18793846
30.3,65.9,77.46166154
30.4,24.3,77.71569231
30.5,10.5,77.97366154
30.6,6,78.21981538
30.7,7.5,78.51913846
30.8,8.4,78.72196923
30.9,9.9,79.0016
31.0,9.3,79.26744615
31.1,9.3,79.49193846
31.2,8.8,79.74793846
31.3,6.7,80.01378462
31.4,8.3,80.26781538
31.5,6.1,80.51987692
31.6,6.3,80.79950769
31.7,5.7,81.06929231
31.8,6.3,81.28393846
31.9,4.6,81.57341538
32.0,2.8,81.81563077
32.1,3,82.05981538
32.2,6,82.304
32.3,3.5,82.56787692
32.4,7.3,82.86523077
32.5,8.6,83.08972308
32.6,7.8,83.33981538
32.7,10.4,83.59975385
32.8,9.9,83.85575385
32.9,25.7,84.12750769
33.0,44.1,84.36972308
33.1,73.2,84.71630769
33.2,83.5,84.94867692
33.3,94.7,85.28344615
33.4,100.9,85.41932308
33.5,99.5,85.72061538
33.6,88.4,85.90769231
33.7,73.9,86.28775385
33.8,69.8,86.43938462
33.9,57.1,86.79384615
34.0,52.6,86.92972308
34.1,36.5,87.24086154
34.2,31.1,87.43975385
34.3,20.8,87.72135385
34.4,18.1,87.93993846
34.5,11.1,88.19987692
34.6,6.9,88.54449231
34.7,6.3,88.74535385
34.8,6.4,88.96984615
34.9,6,89.22781538
35.0,5.2,89.48381538
35.1,4.4,89.72996923
35.2,4.7,89.99581538
35.3,5,90.25181538
35.4,5.1,90.496
35.5,5.4,90.78350769
35.6,15.6,91.03753846
35.7,54.6,91.26596923
35.8,47.3,91.54363077
35.9,29.1,91.79963077
36.0,14.5,92.04381538
36.1,13.5,92.37267692
36.2,12.7,92.56566154
36.3,21.8,92.80590769
36.4,26.1,93.07569231
36.5,32.5,93.33366154
36.6,40.7,93.59950769
36.7,34.4,93.85156923
